time,seconds_elapsed,z,y,x,z,y,x
1.76967E+18,10.67569922,0.02479308,-0.022891704,-0.020988427,0.000892677,0.003141859,-0.001824772
1.76967E+18,10.68568848,0.012404139,-0.020910102,-0.020227453,-0.000291098,0.002408957,0.000805366
1.76967E+18,10.69567651,0.029485622,-0.021369682,-0.025566476,0.000554245,0.002113319,0.000267294
1.76967E+18,10.70566553,0.033548634,-0.005966946,-0.025964389,-0.001023412,0.002131428,0.00015118
1.76967E+18,10.71565332,0.026543139,-0.012933351,-0.01350494,-0.000147797,0.001398013,0.001729009
1.76967E+18,10.72564233,0.017135844,-0.013591449,-0.023694325,8.92241E-05,0.001767394,0.0011788
1.76967E+18,10.73563135,0.014913491,-0.000723492,-0.026043665,-0.00089857,0.000964508,-0.000935273
1.76967E+18,10.74561914,0.000722469,-0.007915522,-0.019389979,0.001598144,0.002789306,0.001811245
1.76967E+18,10.75560815,0.012872341,-0.010742051,-0.024194895,-0.001849921,0.002815445,-0.001687709
1.76967E+18,10.76559595,0.015731238,-0.011438655,-0.028098552,0.00061084,0.002858855,-0.002761495
1.76967E+18,10.77558521,0.022187866,-0.000277356,-0.019908304,-0.000738265,0.00236913,0.00011533
1.76967E+18,10.78557324,0.023252281,-0.007305501,-0.027826968,0.000220473,0.002319862,0.000313736
1.76967E+18,10.79556201,0.027901568,-0.019084347,-0.012737024,0.001038547,0.001510344,0.000510337
1.76967E+18,10.80555029,0.036734863,-0.015660657,-0.015894685,-0.000296495,0.000659997,-0.002370937
1.76967E+18,10.81553931,0.017885201,-0.011497838,-0.022344957,0.001441732,0.002129778,-0.000925151
1.76967E+18,10.8255271,0.013852,-0.007035452,-0.007080533,5.98176E-05,0.00134894,-0.000483865
1.76967E+18,10.83551611,0.028969489,-0.022636414,-0.011751447,-0.001296754,0.000694502,-0.000810877
1.76967E+18,10.84550513,0.027485388,-0.013873627,-0.022505335,0.000595422,0.002064165,0.000131616
1.76967E+18,10.85549316,0.021063831,-0.019056948,-0.019958573,0.000368015,0.001817856,-2.31739E-05
1.76967E+18,10.86548218,0.029015667,-0.016664646,-0.02351042,3.40543E-05,0.001611728,0.001195755
1.76967E+18,10.87546997,0.022755437,-0.009662366,-0.033331411,0.001112041,0.00129009,-0.000657126
1.76967E+18,10.88545898,0.010347206,-0.007950082,-0.023600729,0.000297647,0.000658122,-0.000149794
1.76967E+18,10.89544727,0.009312603,-0.013957433,-0.029935777,0.000239963,0.001009683,-5.77515E-05
1.76967E+18,10.90543604,0.015773908,-0.013400822,-0.024036198,-0.00031291,0.002221155,0.000958777
1.76967E+18,10.91542407,0.023869536,-0.009208704,-0.029278994,-0.001471594,0.000833832,0.000959298
1.76967E+18,10.92541333,0.035252515,-0.010113836,-0.018572891,0.000391287,0.000296407,0.001394991
1.76967E+18,10.9354021,0.024921675,-0.010437369,-0.020440877,0.000100467,-0.00063115,-0.000674759
